gene	pair	radius_kb	nSNP	PP3	PP4	top
MEIS1	rls_akcimen x insomnia	100	484	0.012	0.988	rs113851554
MEIS1	rls_akcimen x insomnia	250	1256	0.012	0.988	rs113851554
MEIS1	rls_akcimen x insomnia	500	2675	0.012	0.988	rs113851554
MEIS1	rls_akcimen x insomnia	1000	6076	0.012	0.988	rs113851554
MEIS1	rls_akcimen x chronotype	100	499	0.001	0.999	rs113851554
MEIS1	rls_akcimen x chronotype	250	1211	0.001	0.999	rs113851554
MEIS1	rls_akcimen x chronotype	500	2549	0.001	0.999	rs113851554
MEIS1	rls_akcimen x chronotype	1000	5785	0.001	0.999	rs113851554
MEIS1	rls_akcimen x sleepdur_eur_short	100	43	0	1	rs11693221
MEIS1	rls_akcimen x sleepdur_eur_short	250	87	0	1	rs11693221
MEIS1	rls_akcimen x sleepdur_eur_short	500	251	0	1	rs11693221
MEIS1	rls_akcimen x sleepdur_eur_short	1000	692	0	1	rs11693221
SEMA6D	rls_akcimen x mdd	100	420	0.016	0.984	rs586226
SEMA6D	rls_akcimen x mdd	250	1104	0.016	0.984	rs586226
SEMA6D	rls_akcimen x mdd	500	2010	0.178	0.822	rs586226
SEMA6D	rls_akcimen x mdd	1000	3984	1	0	rs28896610
TOX3	rls_akcimen x pd_nalls	100	17721	0.024	0.975	rs3104769
TOX3	rls_akcimen x pd_nalls	250	18586	0.022	0.977	rs3104769
TOX3	rls_akcimen x pd_nalls	500	19924	0.019	0.98	rs3104769
TOX3	rls_akcimen x pd_nalls	1000	22722	0.015	0.984	rs3104769
SKOR2	rls_akcimen x daytime_sleepiness	100	579	0.021	0.978	rs9965170
SKOR2	rls_akcimen x daytime_sleepiness	250	1566	0.023	0.977	rs9965170
SKOR2	rls_akcimen x daytime_sleepiness	500	2929	0.023	0.976	rs9965170
SKOR2	rls_akcimen x daytime_sleepiness	1000	5723	0.023	0.976	rs9965170
PTPRD	rls_akcimen x sleepdur_eur_short	100	86	0.002	0.914	rs12685098
PTPRD	rls_akcimen x sleepdur_eur_short	250	203	0.003	0.914	rs12685098
PTPRD	rls_akcimen x sleepdur_eur_short	500	466	0.004	0.913	rs12685098
PTPRD	rls_akcimen x sleepdur_eur_short	1000	812	0.005	0.912	rs12685098
GBA	pd_nalls x rbd	100	329	0.011	0.864	rs35749011
GBA	pd_nalls x rbd	250	687	0.018	0.857	rs35749011
GBA	pd_nalls x rbd	500	1533	0.029	0.848	rs35749011
GBA	pd_nalls x rbd	1000	3350	0.046	0.834	rs35749011
