Trait_1,Trait_2,Region_hg19,region_hg38,LAVA_rho,LAVA_P,nSNP,PP.H3,PP.H4,lead_SNP,verdict,p_bonferroni,q_BH,survives_bonferroni
RLS,short sleep,chr2:65938003-67224027,2:65710869-66996895,0.425,1.1e-05,389,0,1,rs11693221,COLOC,0.031,0.00309,yes
RLS,chronotype,chr2:65938003-67224027,2:65710869-66996895,-0.597,6.1e-12,3528,0.001,0.999,rs113851554,COLOC,1.72e-08,8.63e-09,yes
RLS,insomnia,chr2:65938003-67224027,2:65710869-66996895,0.725,6.6e-20,3719,0.012,0.988,rs113851554,COLOC,1.86e-16,8.63e-09,yes
RLS,MDD,chr15:47693317-49260006,15:47401120-48967809,0.762,3.4e-07,2714,0.016,0.984,rs586226,COLOC,0.000959,0.000193,yes
RLS,PD,chr16:52041337-53393882,16:52007425-53359970,-0.53,5e-05,20899,0.017,0.981,rs3104769,COLOC,0.141,0.0059,no
RLS,daytime sleepiness,chr18:44300146-45718492,18:46720183-48192121,0.55,0.00089,3998,0.023,0.976,rs9965170,COLOC,1,0.0351,no
RLS,short sleep,chr9:8262304-9170120,9:8262304-9170120,0.508,4.9e-05,438,0.003,0.913,rs12685098,COLOC,0.138,0.0059,no
PD,RBD,chr1:154685546-156813845,1:154713070-156844053,0.587,5e-05,3633,0.064,0.818,rs35749011,suggestive,0.141,0.0059,no
RLS,MDD,chr1:196179111-197935821,1:196209981-197966691,0.789,4.7e-05,2563,0.353,0.544,rs2358493,weak,0.133,0.0059,no
RLS,PTSD,chr2:75942398-76649030,2:75715272-76421904,0.833,0.00027,2280,0.034,0.396,rs7580948,no,0.762,0.0185,no
RLS,bipolar,chr9:13512853-14244747,9:13512854-14244748,0.664,0.00076,2477,0.046,0.348,rs513997,no,1,0.0321,no
PD,daytime sleepiness,chr17:43460501-44865832,17:45383135-46788466,0.912,5.4e-06,3188,0.666,0.334,rs58879558,no,0.0152,0.00156,yes
RLS,chronotype,chr6:37570052-38688720,6:37602276-38720944,-0.399,0.00014,3057,0.36,0.315,rs4714163,no,0.395,0.0123,no
PD,schizophrenia,chr17:43460501-44865832,17:45383135-46788466,0.776,1.6e-05,2993,0.753,0.247,rs35631660,no,0.0451,0.00309,yes
PD,PTSD,chr1:36855140-38474036,1:36389539-38008364,-0.528,0.00094,3905,0.167,0.1,rs12026766,no,1,0.0351,no
RLS,anxiety,chr13:59751796-61268155,13:59177662-60694021,0.556,0.00048,4157,0.124,0.093,rs17057137,no,1,0.0236,no
RLS,anxiety,chr3:71223282-72334704,3:71174131-72285553,0.548,0.00079,3133,0.164,0.082,rs62246017,no,1,0.0331,no
RLS,schizophrenia,chr9:128785783-129617771,9:126023504-126855492,-0.644,8.3e-06,2371,0.171,0.071,rs35196838,no,0.0234,0.00224,yes
RLS,OSA,chr8:9835864-10478851,8:9978354-10621341,0.65,0.00018,466,0.039,0.053,rs4471098,no,0.508,0.013,no
RLS,insomnia,chr9:8262304-9170120,9:8262304-9170120,0.377,0.00011,3987,0.12,0.049,rs6477358,no,0.31,0.0094,no
PD,MDD,chr2:6306607-7108208,2:6166475-6968077,-0.658,0.00081,2344,0.338,0.038,rs16865129,no,1,0.0331,no
RLS,PD,chr12:23923799-25058714,12:23770865-24905780,0.701,0.00041,21515,0.148,0.036,rs78885473,no,1,0.0219,no
RLS,MDD,chr3:29877023-31269697,3:29835532-31228205,0.615,0.00017,4149,0.033,0.036,rs7624087,no,0.48,0.0123,no
RLS,anxiety,chr10:130694009-131694738,10:128895745-129896474,0.667,3.6e-08,3279,0.407,0.023,rs11815777,no,0.000102,0.000188,yes
RLS,chronotype,chr13:107037865-108521978,13:106385517-107869630,-0.494,0.00044,4404,0.074,0.02,rs114136029,no,1,0.0226,no
RLS,PD,chr11:133521643-134351064,11:133651748-134481170,0.712,0.00032,15706,0.342,0.018,rs329647,no,0.903,0.0186,no
PD,OSA,chr1:154685546-156813845,1:154713070-156844053,-0.411,0.00093,754,0.127,0.017,rs2230288,no,1,0.0351,no
RLS,daytime sleepiness,chr9:119890465-121008529,9:117128186-118246251,0.688,0.00045,3100,0.039,0.016,rs4604518,no,1,0.0226,no
PD,MDD,chr9:85135752-86769886,9:82520837-84154971,-0.625,0.00022,3946,0.023,0.014,rs1246268,no,0.621,0.0172,no
PD,narcolepsy,chr3:8664893-9970731,3:8623207-9929047,0.665,2.2e-04,3863,0.082,0.014,,no,0.621,0.0172,no
PD,MDD,chr1:36855140-38474036,1:36389539-38008364,-0.712,4.1e-07,3898,0.2,0.013,rs4653218,no,0.00116,0.000193,yes
PD,short sleep,chr10:120592840-121874445,10:118833328-120114933,0.714,1.6e-05,434,0.005,0.011,rs3858339,no,0.0451,0.00309,yes
RLS,OSA,chr6:37570052-38688720,6:37602276-38720944,0.326,4e-04,475,0.023,0.011,rs3923809,no,1,0.0219,no
RLS,RBD,chr8:6019164-6663427,8:6161643-6805906,0.751,8.2e-05,3942,0.047,0.011,rs11779054,no,0.231,0.00854,no
RLS,narcolepsy,chr3:61277588-62609818,3:61291914-62624143,0.534,5.1e-04,3991,0.095,0.011,,no,1,0.0241,no
RLS,OSA,chr16:73140782-74135275,16:73106883-74101376,0.429,5.5e-06,562,0.071,0.009,rs1492565,no,0.0155,0.00156,yes
RLS,chronotype,chr6:88499746-89974267,6:87790028-89264548,0.583,0.00096,4104,0.008,0.009,rs1796731,no,1,0.0351,no
PD,schizophrenia,chr19:762047-1515920,19:762047-1515921,-0.528,0.00098,2645,0.05,0.008,rs117389211,no,1,0.0351,no
RLS,MDD,chr9:8262304-9170120,9:8262304-9170120,0.509,2.7e-07,3542,0.418,0.007,rs7048788,no,0.000762,0.000193,yes
RLS,MDD,chr15:69089816-70767983,15:68797477-70475644,0.639,3e-05,3913,0.088,0.007,rs180896238,no,0.0846,0.00456,no
RLS,anxiety,chr6:15069422-16566882,6:15069191-16566651,-0.534,0.00032,4241,0.021,0.006,rs61689184,no,0.903,0.0186,no
RLS,MDD,chr1:213958293-214783872,1:213784950-214610529,0.59,0.00031,2206,0.066,0.006,rs12116805,no,0.875,0.0186,no
RLS,schizophrenia,chr12:123396635-124843768,12:122912088-124359222,0.55,0.00052,3705,0.196,0.006,rs1716180,no,1,0.0243,no
RLS,bipolar,chr22:50347997-51244236,22:49954349-50805808,-0.658,0.00087,2589,0.088,0.006,rs13055562,no,1,0.0342,no
RLS,narcolepsy,chr20:3736552-4591847,20:3755905-4611201,0.736,3.1e-05,3145,0.017,0.006,,no,0.0875,0.00588,no
PD,MDD,chr7:77663965-78685009,7:78034648-79055693,0.575,0.00071,3656,0.03,0.005,rs11981822,no,1,0.031,no
RLS,insomnia,chr16:6446082-7051429,16:6396081-7001428,0.68,0.00049,3772,0.067,0.004,rs28581832,no,1,0.0236,no
RLS,anxiety,chr10:10969482-11856924,10:10927519-11814925,-0.75,4.2e-05,2738,0.235,0.004,rs12775688,no,0.118,0.0059,no
RLS,anxiety,chr4:139553761-141087047,4:138632607-140165893,0.492,0.00096,3602,0.078,0.004,rs56369810,no,1,0.0351,no
RLS,chronotype,chr12:124843769-126079935,12:124359223-125595389,0.444,0.00098,4150,0.339,0.004,rs11612491,no,1,0.0351,no
RLS,long sleep,chr7:147352172-148622913,7:147655080-148925821,0.732,6.4e-05,384,0.015,0.004,rs4314574,no,0.181,0.00767,no
RLS,anxiety,chr9:14244748-14902924,9:14244749-14902926,0.602,1.8e-06,2304,0.382,0.003,rs10961649,no,0.00508,0.000734,yes
RLS,anxiety,chr12:124843769-126079935,12:124359223-125595389,0.452,1e-04,3941,0.382,0.003,rs73233312,no,0.282,0.00883,no
RLS,OSA,chr20:18959420-19957928,20:18978776-19977284,0.586,6e-04,683,0.002,0.003,rs2424245,no,1,0.0309,no
RLS,short sleep,chr14:99474534-100786189,14:99008197-100319852,0.685,6.3e-05,357,0.001,0.003,rs1405238,no,0.178,0.00619,no
RLS,insomnia,chr11:114742318-116247377,11:114871596-116376660,0.631,3.1e-05,3803,0.022,0.002,rs11215689,no,0.0875,0.00588,no
PD,insomnia,chr22:27192924-27952441,22:26796961-27556480,-0.514,0.00046,2876,0.014,0.002,rs80034906,no,1,0.0231,no
RLS,anxiety,chr22:37364005-38718589,22:36967964-38322584,0.655,0.00073,3472,0.006,0.002,rs60109736,no,1,0.032,no
RLS,OSA,chr2:159040980-160200379,2:158184468-159343868,0.513,0.00013,549,0.139,0.002,rs11680238,no,0.367,0.0101,no
RLS,OSA,chr11:27018308-28577718,11:26996761-28556171,-0.634,6.2e-05,530,0.998,0.002,rs10501087,no,0.175,0.00619,no
RLS,bipolar,chr13:112319065-113573118,13:111666718-112918804,0.746,0.00032,3077,0.005,0.002,rs74338754,no,0.903,0.0186,no
RLS,chronotype,chr16:5782969-6446081,16:5732968-6396080,0.582,0.00083,3150,0.025,0.002,rs12930303,no,1,0.0331,no
RLS,daytime sleepiness,chr15:94565522-95662425,15:94022293-95119196,-0.483,0.00083,3535,0.008,0.002,rs117223715,no,1,0.0331,no
RLS,daytime sleepiness,chr17:1480057-2699135,17:1576763-2795841,0.754,0.00012,3357,0.006,0.002,rs4790309,no,0.339,0.00967,no
RLS,insomnia,chr14:94892241-95946792,14:94425904-95480455,0.611,9.4e-05,4116,0.011,0.001,rs2273388,no,0.265,0.00883,no
PD,PTSD,chr12:3871115-4967643,12:3761949-4858477,-0.756,0.00014,2926,0.003,0.001,rs182401515,no,0.395,0.0123,no
PD,PTSD,chr19:10028841-11681978,19:9918165-11571163,0.67,4e-04,4023,0.008,0.001,rs181278228,no,1,0.0219,no
RLS,PTSD,chr16:17343278-19104257,16:17249421-19092935,0.914,4.8e-06,3054,0.002,0.001,rs12051530,no,0.0135,0.00156,yes
RLS,PTSD,chr20:49236419-50653620,20:50619882-52037081,0.771,3e-05,4216,0.007,0.001,rs112892784,no,0.0846,0.00456,no
RLS,chronotype,chr5:178595253-179794710,5:179168252-180367710,-0.576,8e-04,3842,0.005,0.001,rs185152143,no,1,0.0331,no
RLS,daytime sleepiness,chr1:18427821-19238924,1:18101327-18912430,0.58,0.00069,3017,0.001,0.001,rs141689730,no,1,0.0309,no
RLS,MDD,chr7:1366973-2473749,7:1327337-2434114,0.408,0.00019,3336,1,0,rs112716420,no,0.536,0.0133,no
RLS,chronotype,chr16:52041337-53393882,16:52007425-53359970,-0.348,1e-04,3655,1,0,rs3104769,no,0.282,0.00883,no
PD,chronotype,chr16:52041337-53393882,16:52007425-53359970,0.568,0.00042,3672,0.968,0,rs12927162,no,1,0.0226,no
